trigram,freq,G2,PMI
mass spectrometry gas,4,7553892.541164547,7.134263129171489
mass spectrometry study,4,7438244.483449364,8.372132669510574
mass spectrometry analysis,34,7160175.42077164,10.817412314009092
mass spectrometry rock,1,6215650.924569227,4.424758716222194
case study oil,2,5184784.596902931,5.0635139273186685
mass spectrometry method,22,4563162.977644288,11.20533053476335
mass spectrometry characterization,2,4211024.943109214,9.05327996550413
mass spectrometry application,4,4106057.8413391383,7.9993205787666195
case study study,1,4077618.4642127547,5.646333492990842
mass spectrometry system,2,3866173.6646685963,7.942147772197368
case study rock,2,3511026.973134007,6.506314461760068
crude oil study,1,3503228.3705058866,5.075942102159819
mass spectrometry review,7,3457821.017677551,8.642093078050932
mass spectrometry approach,2,3142406.3496206026,9.175165959740031
organic matter characteristic,1,3056494.3594480013,8.592369884271765
mass spectrometry datum,7,2885889.934138747,9.742388097328902
case study shale,2,2833201.209125664,8.768105700743229
mass spectrometry case,4,2748419.573292345,7.832559464185013
mass spectrometry phase,1,2501540.777248007,6.007779239209165
case study application,1,2498655.928273402,6.27352140224689
case study coal,2,2443723.172504749,7.308335222435345
liquid chromatography analysis,2,2124704.634824426,7.565284041018951
case study performance,1,2120379.850318886,7.551315985636157
mass spectrometry insight,2,2031578.7904525045,7.295475699277228
case study datum,2,1870253.5076461653,8.123504124725683
mass spectrometry determination,6,1613338.7241357039,12.144650797029458
liquid chromatography method,12,1554667.5476557584,10.715196650430938
case study river,2,1510985.9483194533,7.336389460317755
mass spectrometry detection,2,1495458.6388941647,11.83317833673653
liquid chromatography application,2,1448188.0568543866,8.412325155181618
liquid chromatography mass,48,1403379.5498077718,12.808811718662872
liquid chromatography system,2,1390751.903757994,7.577544769948815
mass spectrometry technique,2,1341430.027494566,9.858573422531666
mass spectrometry element,2,1302715.7656769273,7.75526270528937
mass spectrometry use,2,1281934.6873427068,8.416491100238595
oil gas oil,2,1258098.3971130736,2.3673605273541267
case study risk,2,1204661.866012951,7.481652407525798
liquid chromatography development,2,1203520.1147258377,8.691151176464286
mass spectrometry degradation,2,1192878.9932286313,7.896877310708306
gas chromatography gas,2,1116009.0467107147,6.109425387521955
gas chromatography study,1,1105509.74612335,5.276905599969641
mass spectrometry machine,2,1100265.698541069,9.779481851747843
gas chromatography analysis,4,1079852.4305575409,6.168083707451762
oil spill oil,2,1079089.391169511,5.70333888419884
oil gas gas,1,1060279.3995026476,0.8758092849700954
source rock oil,2,993680.5368344116,5.817169088580719
mass spectrometry separation,1,975355.2356535142,9.200590669995895
oil gas water,3,962285.0441027572,3.0059929433226826
liquid chromatography spectrometry,2,903308.7897655512,6.239243190226287
liquid chromatography condition,2,899765.0062916826,7.679731969776134
oil gas basin,6,897158.4531319976,5.707682779775616
case study pollution,1,855854.9759245166,7.971978034108878
mass spectrometry part,1,853268.4379892783,7.412374991766362
oil gas formation,2,845604.9100898774,3.884223011450164
source rock study,2,835513.7218306675,4.815026153531736
case study health,2,831964.4243890785,7.987084926499088
oil spill water,2,831396.6075285068,5.757008799446241
source rock analysis,2,817213.9577848704,4.858207354458908
oil gas source,4,775861.6049667941,5.789707907363807
oil gas potential,4,763460.6993753201,6.818893354158688
gas chromatography mass,145,755610.4716891854,12.298122329283087
gas chromatography system,2,755299.7263758735,5.332347529826677
oil spill effect,2,747768.7749375522,6.096290869189677
climate change study,3,715524.1945484556,8.381762545989067
oil gas reservoir,8,714055.241360076,6.71200794229473
gas chromatography performance,1,698855.5207044118,4.44492249844875
source rock hydrocarbon,1,685443.2465475097,5.368919236109486
oil gas production,7,683228.0567084718,7.032147984921344
oil spill source,2,675285.5180251396,6.540723763487364
gas hydrate formation,14,668264.339922386,10.149843701438718
mass spectrometry comparison,4,668008.440867076,10.156895778371572
machine learning gas,2,661102.0992987787,10.355291172495242
climate change water,1,659746.5249790412,8.759503491172813
machine learning study,2,655436.6581874546,9.937808884221774
liquid chromatography modeling,1,654270.1069439437,6.6893180186053325
gas chromatography datum,2,642358.6629644404,6.602073138259431
oil recovery oil,2,642221.8452239715,4.153893335797163
source rock model,1,640719.5810384946,5.965665775843107
oil gas development,6,640684.3651518166,6.311873507341205
mass spectrometry imaging,48,639646.4277662493,14.56926247010593
oil gas field,12,634813.2599111069,6.802215511901194
gas chromatography surface,2,633266.985753742,5.922511615006306
gas chromatography case,2,625217.2449975271,5.8077217225354785
mass spectrometry image,2,617743.1988837029,8.671714914042415
source rock potential,27,616130.8062570659,10.561483664613124
source rock characterization,6,610357.1765015662,8.788955198753136
