term,df,freq,burstiness,tf_rel,tfidf_mean
oil,4622,10091,0.279435522723313,0.013680986668799732,0.02228041132349237
gas,2608,5675,0.3471748736520635,0.0076939450347278246,0.015166636899537385
organic,2195,4692,0.22856973630295935,0.006361231736201401,0.01248549677367899
analysis,2483,4904,0.13589964778437913,0.00664865311899652,0.01202584278005879
study,2623,5053,0.21191353354782425,0.006850661543696863,0.010585615956245204
hydrocarbon,1694,3442,0.10118495945974686,0.00466653018670188,0.010014942546211318
water,1701,3889,0.8988353923070075,0.005272555460802909,0.009734998284847767
rock,1703,3712,0.379045535768522,0.005032585721393777,0.009465549575127755
soil,1376,3382,1.234640813884725,0.004585184512325903,0.009223064771271479
basin,1706,3786,0.43529037999565245,0.005132912053124148,0.009126519695872318
carbon,1406,3152,0.6185853232340007,0.004273359427217992,0.0090582976829979
mass,1494,3042,0.08351354134486666,0.004124225690862034,0.008798123771764635
shale,1260,2709,0.4077703949796972,0.0036727571980753613,0.0087219067032829
effect,1622,3074,0.12237556628241957,0.004167610050529221,0.0083650888880841
chromatography,1308,2682,0.05468669827391581,0.0036361516446061716,0.008171231751126957
spectrometry,1222,2459,0.03367868060746155,0.003333816888175457,0.007623125516416086
high,1630,3319,0.318428567995756,0.004499771554231128,0.007620463802983135
coal,926,2129,0.5327098679451815,0.002886415679107584,0.007610371683846323
liquid,1071,2394,0.263452749520861,0.003245692407601482,0.007399348805149546
fourier,919,1891,0.2136136524364595,0.002563744504082875,0.007232148437357693
formation,1335,2821,0.30482828757565983,0.0038246024569105184,0.007229076763033526
characterization,1136,2251,0.01537618648362856,0.003051818550338737,0.007106191997592998
application,1137,2181,0.06024444742855967,0.002956915263566764,0.007098820750777419
matter,1090,2225,0.11197402329656737,0.003016568758109147,0.007063985398537643
potential,1189,2306,0.10999134156188885,0.003126385418516716,0.00668346898661029
method,1224,2431,0.2981340554869967,0.003295855573466668,0.006598379607741908
review,900,1796,0.04676070279633754,0.002434947186320911,0.0065939175749001435
marine,883,1803,0.12836916451692126,0.0024444375149981087,0.0064914408863718815
china,1099,2236,0.0584463677338807,0.0030314821317447426,0.006403596507956838
source,1120,2259,0.24908263770315556,0.003062664640255534,0.006401680178097428
production,902,1830,0.19631177831897545,0.0024810430684672983,0.006312455758491485
reservoir,972,2086,0.6525671831413814,0.0028281179458048,0.006263988632922682
system,981,1945,0.25743208362486214,0.0026369556110212543,0.005616939928913294
performance,910,1799,0.07921922435541112,0.00243901447003971,0.005599103796656561
model,1039,2276,0.7531931304772908,0.0030857125813287273,0.005563943182738083
waste,673,1374,0.07338796715049822,0.0018628159432098731,0.005209800670542731
ionization,731,1485,0.032509315683050294,0.0020133054408054307,0.005203236357632318
impact,852,1651,0.12217023115880826,0.002238361806578967,0.005152862654973648
heavy,716,1434,0.08507281269722539,0.00194416161758585,0.005113827855826784
evaluation,803,1574,0.04366250448999227,0.0021339681911297964,0.0051124867663981015
hydrate,591,1246,0.1100075232283069,0.0016892785045411222,0.005038926227595642
crude,677,1387,0.13366361412525468,0.0018804408393246683,0.005008856012374935
development,816,1573,0.09455439836455881,0.002132612429890197,0.005006724780898921
assessment,804,1581,0.0531899326894937,0.002143458519806994,0.004900924997325205
petroleum,569,1162,0.10239905139009466,0.0015753945604147545,0.004822629831974381
aromatic,652,1318,0.03619073331036987,0.0017868933137922946,0.004756368721909539
thermal,651,1331,0.12299634960258786,0.0018045182099070897,0.004748052502986083
approach,798,1517,0.20908318918588495,0.0020566898004726183,0.004638830770798535
sediment,706,1648,0.9145087873703895,0.0022342945228601683,0.004556691776716181
field,764,1493,0.22196691015314046,0.0020241515307222275,0.004432302183569582
temperature,698,1428,0.27208189866204363,0.0019360270501482524,0.004429811895344817
environmental,652,1266,0.12621269832039464,0.0017163937293331146,0.004387325888396327
characteristic,826,1480,0.16634055362868924,0.0020065266346074324,0.004366880677487602
natural,639,1265,0.20137195593411147,0.001715037968093515,0.0043652180964506605
sea,642,1411,0.43648259889475444,0.001912979109075059,0.004354021948040787
geochemistry,670,1329,0.03974371932661747,0.0018018066874278904,0.004339606648598704
low,904,1728,0.3014585381842019,0.0023427554220281374,0.004313447824261395
metal,606,1256,0.22675579659876816,0.0017028361169371185,0.004308180701682466
different,751,1396,0.1368471455442409,0.0018926426904810648,0.004182763662333016
evolution,645,1278,0.17979400953524768,0.00173266286420831,0.004156421867338003
chemical,607,1202,0.174511454001705,0.0016296250099987392,0.0041506722193115
case,713,1399,0.041442144108143765,0.0018967099741998637,0.00414757486695068
process,739,1416,0.29858642385878,0.001919757915273057,0.004117612866152858
polycyclic,554,1109,0.00450693863466941,0.0015035392147159747,0.004112470520565003
microbial,515,1081,0.2663732789667962,0.0014655779000071856,0.00410678759303932
mechanism,615,1201,0.1828747046837662,0.0016282692487591395,0.00409499895496064
plant,524,1087,0.25031952920356465,0.0014737124674447833,0.004057907795554368
property,636,1203,0.17415972646998854,0.0016309807712383388,0.004056555836788397
