Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Geological Structure and Oil-And-Gas Bearing Prospects at the Continental Margin of Tanzania,Oceanology,,,,10.1134/S0001437025700110,A. ZabanbarkL. I. Lobkovsky,2025,https://link.springer.com/article/10.1134/S0001437025700110,Article
Geological Structure and Prospects of the Oil-And-Gas-Bearing Mozambique Continental Margin,Oceanology,,,,10.1134/S0001437024700139,A. ZabanbarkL. I. Lobkovsky,2024,https://link.springer.com/article/10.1134/S0001437024700139,Article
Energy recovery analysis through numerical simulations of steam injection in continental shale oil reservoirs,Journal of Petroleum Exploration and Production Technology,,,,10.1007/s13202-025-01970-4,Maryelin Josefina Briceño MontillaShouding LiZhaobin ZhangYanzhi HuJianming HeZheng BoXiao Li,2025,https://link.springer.com/article/10.1007/s13202-025-01970-4,Article
Experimental Modeling of Oil Generation by Source Rocks Enriched with Continental Organic Matter,Moscow University Geology Bulletin,,,,10.3103/S0145875224700765,M. A. BolshakovaI. V. KuvinovE. Yu. MakarovaP. G. ZotovaA. Ju. BychkovN. V. ProninaE. V. KozlovaI. M. NatitnikV. V. MaltsevE. V. SavelievaV. B. Skorev,2024,https://link.springer.com/article/10.3103/S0145875224700765,Article
Distributed Fiber Optic Monitoring of Asymmetric Fracture Swarm Propagation in Laminated Continental Shale Oil Reservoirs,Rock Mechanics and Rock Engineering,,,,10.1007/s00603-024-03791-z,Bing HouQixing ZhangJiaxin Lv,2024,https://link.springer.com/article/10.1007/s00603-024-03791-z,Article
Experimental study on the improvement of micro-pore structure in medium-low maturity continental oil shale by temperature alteration,Scientific Reports,,,,10.1038/s41598-025-90784-9,Linyan LiXin TangXiaoyi ZhouXiangru ChenQiuqi ChenHaifeng YanZhangping Yan,2025,https://link.springer.com/article/10.1038/s41598-025-90784-9,Article
The impact of Brazilian coast oil spill on the mesozooplankton of the tropical narrowest continental shelf,Aquatic Ecology,,,,10.1007/s10452-023-10024-y,Christiane Sampaio De SouzaPaulo De Oliveira Mafalda JuniorLaura Rodrigues Da ConceiçãoRuy Kenji Papa De KikuchiJosé Maria Landim Dominguez,2023,https://link.springer.com/article/10.1007/s10452-023-10024-y,Article
Experimental Study of Nanoscale Fluid Phase Visualization in Continental Shale Oil Reservoir,Proceedings of the International Field Exploration and Development Conference 2024,,,,10.1007/978-981-96-2900-8_23,Xiao-yu ZhengZheng-dong LeiCao-xiong LiLing-hui SunYi-shan LiuXiu-xiu PanYu-han WangCheng-gang Xian,2025,https://link.springer.com/chapter/10.1007/978-981-96-2900-8_23,Conference paper
Theory and Simulation Experimental Technology of Oil Generation From Nonmarine Source Rocks in China,,,,,10.1007/978-981-96-3145-2,Defan GuanZhongliang MaYongqiang Zhao,2025,https://link.springer.com/book/10.1007/978-981-96-3145-2,Book
Effects of laminar structure on fracture propagation and proppant transportation in continental shale oil reservoirs with multiple lithological-combination,International Journal of Fracture,,,,10.1007/s10704-024-00831-1,Xiaohuan ZhangShicheng ZhangYushi ZouJianmin Li,2025,https://link.springer.com/article/10.1007/s10704-024-00831-1,Article
Comparative experimental investigation on pore structure and fractal characteristic of marine and continental shales,Frontiers of Earth Science,,,,10.1007/s11707-025-1155-0,Xuanzhe XiaYuxuan XiaHan WangMingjing LuShangwen ZhouJianchao Cai,2025,https://link.springer.com/article/10.1007/s11707-025-1155-0,Article
"Characteristics, Types, and Prospects of Geological Sweet Sections in Giant Continental Shale Oil Provinces in China",Journal of Earth Science,,,,10.1007/s12583-022-1735-9,Zhi YangCaineng ZouSongtao WuSongqi PanXiaoni WangHaitao LiuWenqi JiangJiarui LiQiyan LiXiaobing NiuGuohui LiZhenxing TangXuguang GuoDong HuangQizhao Wei,2022,https://link.springer.com/article/10.1007/s12583-022-1735-9,Article
Phase behavior of nanoconfined continental shale oil and reservoir fluid phases in the Gulong shale of the Songliao basin,Scientific Reports,,,,10.1038/s41598-025-00543-z,Jiamin LuHuasen ZengQingzhen WangZihui FengHang JiangRui WangBinhui LiQiuli HuoLongde Sun,2025,https://link.springer.com/article/10.1038/s41598-025-00543-z,Article
Natural hydrogen resource accumulation in the continental crust,Nature Reviews Earth & Environment,,,,10.1038/s43017-025-00670-1,Chris J. BallentineRūta KarolytėAnran ChengBarbara Sherwood LollarJon G. GluyasMichael C. Daly,2025,https://link.springer.com/article/10.1038/s43017-025-00670-1,Article
"Oceanography, Biodiversity, Fisheries and Conservation of Brazilian Continental Shelf Habitats",Brazilian Marine Biodiversity,,,,10.1007/978-3-031-88338-5,Paulo Yukio Gomes SumidaMiguel Mies,2025,https://link.springer.com/book/10.1007/978-3-031-88338-5,Book
"Microscopic Occurrence Mechanism of Shale Oil in Saline Lacustrine Shale: Insights from NMR and Micro-CT Combined with Saturated Oil, Centrifuged and Solvent Extraction Experiments",Natural Resources Research,,,,10.1007/s11053-025-10486-x,Xiaobiao HeQun LuoXin LiZhenxue JiangChenggang LiangZhaoxuan QiuYingyan LiYuan Deng,2025,https://link.springer.com/article/10.1007/s11053-025-10486-x,Article
Magmatic underplating and crustal intrusions accommodate extension during Red Sea continental rifting,Nature Communications,,,,10.1038/s41467-025-61598-0,Alessio SanfilippoMarco LigiRiccardo AvanzinelliValentin BaschAlessandro BragagniAlessandro DecarlisHervé GuillouSébastien NomadeNajeeb RasulLuigi VigliottiSandro Conticelli,2025,https://link.springer.com/article/10.1038/s41467-025-61598-0,Article
Mechanistic investigation of gas injection treatment in a continental shale gas condensate reservoir,Acta Mechanica Sinica,,,,10.1007/s10409-024-23524-x,Longlong LiXing QinChao ZhouYuewu LiuWei PangLuting WangJiuge Ding,2024,https://link.springer.com/article/10.1007/s10409-024-23524-x,Article
Sulfide-rich continental roots at cratonic margins formed by carbonated melts,Nature,,,,10.1038/s41586-024-08316-w,Chunfei ChenMichael W. FörsterSvyatoslav S. ShchekaIsra S. EzadJoshua J. SheaYongsheng LiuDorrit E. JacobStephen F. Foley,2025,https://link.springer.com/article/10.1038/s41586-024-08316-w,Article
Continental Europe,Reflecting Imperial Overstretch and New Realities,,,,10.1007/978-3-031-58303-2_9,Brian O’Sullivan,2024,https://link.springer.com/chapter/10.1007/978-3-031-58303-2_9,Chapter
A new method for total organic carbon prediction of marine-continental transitional shale based on multivariate nonlinear regression,Frontiers of Earth Science,,,,10.1007/s11707-025-1149-y,Xinyu ZhangYanjun MengTaotao YanJinzhi ZhongZhen QiuWeibo ZhaoLiangliang YinHaojie MaQin Zhang,2025,https://link.springer.com/article/10.1007/s11707-025-1149-y,Article
Amoco Cadiz Oil Spill,Eco-disasters,,,,10.1007/978-981-96-8667-4_19,Seok Soon Park,2025,https://link.springer.com/chapter/10.1007/978-981-96-8667-4_19,Chapter
Formation of Gas Accumulation on the East African Continental Margins,Oceanology,,,,10.1134/S0001437023030153,A. ZabanbarkA. I. KonyuhovL. I. Lobkovsky,2023,https://link.springer.com/article/10.1134/S0001437023030153,Article
Tectonic Framework of the Eurasian Arctic Continental Margin,Geotectonics,,,,10.1134/S0016852123070075,E. A. GusevD. E. ArtemievaA. Yu. KomarovA. A. KrylovD. M. UrvantsevA. N. UsovE. A. Zykov,2023,https://link.springer.com/article/10.1134/S0016852123070075,Article
