Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The evaluation of hydrocarbon generation potential, 2D modeling of sedimentary basin, and tracing hydrocarbon migration pathway in the Garmsar Block, Central Iran Basin",Arabian Journal of Geosciences,,,,10.1007/s12517-024-12081-5,Seyedeh Nilofar HoseiniMohammad Hossein SaberiMehdi Kobraei,2024,https://link.springer.com/article/10.1007/s12517-024-12081-5,Article
Hydrocarbon generation potential in Jurassic source rocks from hydrous pyrolysis experiments under ultradeep conditions,Scientific Reports,,,,10.1038/s41598-024-73382-z,Zhanyuan CaoMingliang LiangXilong ZhangLong Su,2024,https://link.springer.com/article/10.1038/s41598-024-73382-z,Article
"Hydrocarbon-Source Correlation in the Obayied Sub-Basin, North Western Desert, Egypt: Controls on Generation of Natural Gas and Light Crude Hydrocarbon Blends",Journal of Earth Science,,,,10.1007/s12583-023-1817-3,Mostafa HassanMahmoud Lotfy LeilaMohammed AhmedGhalib IssaBranimir ŠegvićOmar Hegab,2024,https://link.springer.com/article/10.1007/s12583-023-1817-3,Article
"Geochemical Characteristics and Hydrocarbon Generation Modeling of the Paleocene Source Rocks in the Jiaojiang Sag, East China Sea Basin",Journal of Earth Science,,,,10.1007/s12583-021-1528-6,Chuang LeiShiyan YinJiaren YeJingfu WuZhaosheng WangBin Gao,2024,https://link.springer.com/article/10.1007/s12583-021-1528-6,Article
"Hydrocarbon generation potential and geochemical characteristics comparison of source rocks in the Southwestern Qaidam basin, China",Scientific Reports,,,,10.1038/s41598-025-92846-4,Yang ZhaoChenxin HuangFenjun ChenQingyou Yue,2025,https://link.springer.com/article/10.1038/s41598-025-92846-4,Article
Geochemical Characteristics and Hydrocarbon Generation and Expulsion of Oligocene Yacheng Formation Source Rocks in the Northern Yinggehai Basin,Natural Resources Research,,,,10.1007/s11053-024-10439-w,Yanan WangZhipeng HuoGaowei HuJianxiang PeiLin WeiLin HuXiaoFei FuWeihong WangJianbo GaoJingshuang LuoJiansheng Li,2024,https://link.springer.com/article/10.1007/s11053-024-10439-w,Article
"Hydrocarbon generation potential of the lower Jurassic-Eocene intervals in the Potwar Plateau, Pakistan: insights from organic geochemical, 1D basin modeling and petrographic analysis",Carbonates and Evaporites,,,,10.1007/s13146-025-01114-z,Masood ShahSyed Mamoon SiyarAbbas F. GharibIman M. AnwerMuhammad IrfanMohammad Salman ShamimNasar KhanTaqweem Ul. HaqYasir HamidKamran Shams,2025,https://link.springer.com/article/10.1007/s13146-025-01114-z,Article
Generation of Hydrocarbon Gases in Stepwise Pyrolysis of Artificially Matured Domanik Oil Shale Kerogen,Petroleum Chemistry,,,,10.1134/S0965544124040029,N. S. BurdelnayaD. A. BushnevA. A. Ilchenko,2024,https://link.springer.com/article/10.1134/S0965544124040029,Article
Red algal evidence for a marine regression during closure of the Paleo-Asian Ocean in the Junggar Basin and its linkage to hydrocarbon generation,Science China Earth Sciences,,,,10.1007/s11430-023-1343-9,Ruijie ZhangJian CaoLizeng BianWenxuan HuLiuwen XiaBin ZhangYong TangWenjun He,2024,https://link.springer.com/article/10.1007/s11430-023-1343-9,Article
The influence of hydrocarbon generation on the sealing capability of mudstone caprock rich in organic matter,Scientific Reports,,,,10.1038/s41598-024-51960-5,Wei YangYadong BaiXiujian SunJiangong WangGuohui LongHongzhe LiMingtao ZuoHaipeng Li,2024,https://link.springer.com/article/10.1038/s41598-024-51960-5,Article
"An innovative approach for investigation of overpressure due to hydrocarbon generation: a regional study on Kazhdumi formation, South-western Zagros Basin, Iran",Journal of Petroleum Exploration and Production Technology,,,,10.1007/s13202-024-01781-z,Zahra SadeghtabaghiAli KadkhodaieVali MehdipourRahim Kadkhodaie,2024,https://link.springer.com/article/10.1007/s13202-024-01781-z,Article
"Hydrocarbon generation and migration in the Fuxin Basin during the Cretaceous evolution of the North China Craton, NE China",Geomechanics and Geophysics for Geo-Energy and Geo-Resources,,,,10.1007/s40948-023-00687-0,Wenquan XieJianliang JiaAhmed MansourXiaoming Wang,2023,https://link.springer.com/article/10.1007/s40948-023-00687-0,Article
"Hydrocarbon generation potential evaluation via petrographic and geochemical analyses of El-Maghara coal in Sinai, Egypt",Scientific Reports,,,,10.1038/s41598-024-51291-5,S. A. SalmanE. A. Abou El-AnwarW. A. MakledK. H. MahfouzZ. L. Belal,2024,https://link.springer.com/article/10.1038/s41598-024-51291-5,Article
Breakthrough and perspective in the theory of hydrocarbon generation for alkaline lake source rocks,Science China Earth Sciences,,,,10.1007/s11430-025-1578-2,Shuichang Zhang,2025,https://link.springer.com/article/10.1007/s11430-025-1578-2,Article
Hydrocarbon generation potential and organic matter accumulation patterns in organic-rich shale during the mesoproterozoic oxygenation event: evidence from the Xiamaling formation shale,Geomechanics and Geophysics for Geo-Energy and Geo-Resources,,,,10.1007/s40948-023-00668-3,Huan MiaoZhenxue JiangXianglu TangZe DengChengju ZhangZhikai LiangYuguang Shi,2023,https://link.springer.com/article/10.1007/s40948-023-00668-3,Article
Hydrocarbon Generation/Expulsion and Migration in the ZFTB,Basics of Petroleum Geochemistry,,,,10.1007/978-3-031-86938-9_7,Majid Alipour,2025,https://link.springer.com/chapter/10.1007/978-3-031-86938-9_7,Chapter
Molecular evolution of nitrogen-containing compounds in highly mature organic matter: Implications for the hydrocarbon generation potential,Science China Earth Sciences,,,,10.1007/s11430-022-1029-5,Jingkun ZhangJian CaoWenxuan HuBaoli XiangNi ZhouWanyun Ma,2023,https://link.springer.com/article/10.1007/s11430-022-1029-5,Article
"Hydrocarbon generation and expulsion of Campanian Galhak shale, Rawat Central sub-basin, Sudan: implications from 1D basin modelling study",Arabian Journal of Geosciences,,,,10.1007/s12517-024-11855-1,Anas Mohamed Abaker BabaiOlugbenga Ajayi EhinolaOmer Ibrahim Mohamed Fadul Abul Gebbayin,2024,https://link.springer.com/article/10.1007/s12517-024-11855-1,Article
Experimental investigation of the adsorption potential of pomegranate peel for hydrocarbon and non-hydrocarbon gases,Biomass Conversion and Biorefinery,,,,10.1007/s13399-024-06360-0,Mohammad JamshidnejadIman Abasali,2024,https://link.springer.com/article/10.1007/s13399-024-06360-0,Article
Hydrocarbon Source Rocks,Basics of Petroleum Geochemistry,,,,10.1007/978-3-031-86938-9_1,Majid Alipour,2025,https://link.springer.com/chapter/10.1007/978-3-031-86938-9_1,Chapter
