Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Hydrogen Ionization Inside the Sun,Solar Physics,,,,10.1007/s11207-024-02413-9,Vladimir A. BaturinSergey V. AyukovAnna V. OreshinaAlexey B. GorshkovVictor K. GryaznovIgor L. IosilevskiyWerner Däppen,2025,https://link.springer.com/article/10.1007/s11207-024-02413-9,Article
Core-valence double ionization of carbon suboxide,Scientific Reports,,,,10.1038/s41598-025-01057-4,Emelie OlssonLucas M. CornettaVeronica Daver IdeböhnMåns WallnerMarco ParrianiRichard J. SquibbGunnar ÖhrwallStefano FalcinelliLeif KarlssonJohn H. D. ElandHans ÅgrenRaimund Feifel,2025,https://link.springer.com/article/10.1038/s41598-025-01057-4,Article
Resonant laser ionization of neptunium: investigation on excitation schemes and the first ionization potential,The European Physical Journal D,,,,10.1140/epjd/s10053-024-00833-7,Magdalena KajaDominik StuderFelix BergSebastian BerndtChristoph E. DüllmannNina KneipTobias ReichMitzi Urquiza-GonzálezKlaus Wendt,2024,https://link.springer.com/article/10.1140/epjd/s10053-024-00833-7,Article
Above-threshold ionization with X-ray free-electron lasers,Communications Physics,,,,10.1038/s42005-024-01836-x,Spencer WalkerAlexandra S. Landsman,2024,https://link.springer.com/article/10.1038/s42005-024-01836-x,Article
In situ characterization of laser-induced strong field ionization phenomena,Light: Science & Applications,,,,10.1038/s41377-025-01808-y,Noam ShlomoEugene Frumker,2025,https://link.springer.com/article/10.1038/s41377-025-01808-y,Article
Performance Degradation Caused by Ionization of the Released Gas Molecules in W-Band Gyrotron Traveling Wave Tube Based on a Simplified Ionization Model,"Journal of Infrared, Millimeter, and Terahertz Waves",,,,10.1007/s10762-024-00988-9,Yu WangGuo LiuWei JiangYelei YaoJianxun WangYong Luo,2024,https://link.springer.com/article/10.1007/s10762-024-00988-9,Article
Entanglement in photo-ionization process,Scientific Reports,,,,10.1038/s41598-024-62198-6,I. A. IvanovKyung Taec Kim,2024,https://link.springer.com/article/10.1038/s41598-024-62198-6,Article
Orbital angular momentum control of strong-field ionization in atoms and molecules,Nature Communications,,,,10.1038/s41467-025-57618-8,Jean-Luc BéginEbrahim KarimiPaul CorkumThomas BrabecRavi Bhardwaj,2025,https://link.springer.com/article/10.1038/s41467-025-57618-8,Article
A resonant ionization laser ion source at RAON,Journal of the Korean Physical Society,,,,10.1007/s40042-024-01208-2,Sung Jong ParkHee-Joong YimWonjoo HwangJae-Won JeongTakashi HashimotoKyoungho TshooJinho LeeTaeksu Shin,2024,https://link.springer.com/article/10.1007/s40042-024-01208-2,Article
Simulating Strong Field Tunnel Ionization of Molecules,Proceedings of the 8th International Conference on Attosecond Science and Technology,,,,10.1007/978-3-031-47938-0_14,L. OrtmannA. AlShafeyA. StaudteA. S. Landsman,2024,https://link.springer.com/chapter/10.1007/978-3-031-47938-0_14,Conference paper
Numerical Solution of Ionization Equations by the Fractional Step Method,Computational Mathematics and Mathematical Physics,,,,10.1134/S0965542524700830,M. B. GavrikovA. A. Tayurskii,2024,https://link.springer.com/article/10.1134/S0965542524700830,Article
Two-Photon Ionization of Single Atoms Localized on the Bessel Beam Axis,JETP Letters,,,,10.1134/S0021364024603762,M. D. KiselevE. V. GryzlovaM. M. PopovaA. N. Grum-Grzhimailo,2024,https://link.springer.com/article/10.1134/S0021364024603762,Article
Mass spectrometry of isoleucine amino acid under electron impact ionization,Chemical Papers,,,,10.1007/s11696-025-04081-w,Alexander V. PappAnatoly M. ZavilopuloAnatoly M. MylymkoEugene Yu. Remeta,2025,https://link.springer.com/article/10.1007/s11696-025-04081-w,Article
Electron-impact multiple ionization in JAC: integration and application,The European Physical Journal D,,,,10.1140/epjd/s10053-025-01031-9,B. LiY. SongY. MaS. Fritzsche,2025,https://link.springer.com/article/10.1140/epjd/s10053-025-01031-9,Article
Elliptically Dependent Inclusion of the Initial Momentum in the Barrier Suppression Ionization Rate,Moscow University Physics Bulletin,,,,10.3103/S0027134925700201,Maida Š. KurtovićVioleta M. PetrovićIvan D. Petrović,2025,https://link.springer.com/article/10.3103/S0027134925700201,Article
Numerical Simulation of Streamer Discharge in Transformer Oil Under Various Ionization Energies,The Proceedings of the 19th Annual Conference of China Electrotechnical Society,,,,10.1007/978-981-96-1379-3_28,Yanyan BaoShaobin LiangFeng WangGuangdong ZhangJianning ChenYuanxiang Zhou,2025,https://link.springer.com/chapter/10.1007/978-981-96-1379-3_28,Conference paper
Ionization Processes in a Negative Needle‒Plane Electrode System: Experiment,High Temperature,,,,10.1134/S0018151X25700336,A. I. ZhakinA. E. Kuz’ko,2024,https://link.springer.com/article/10.1134/S0018151X25700336,Article
Examining functional group-dependent effects on the ionization of lignin monomers using supercritical fluid chromatography/electrospray ionization mass spectrometry,Analytical and Bioanalytical Chemistry,,,,10.1007/s00216-024-05358-x,Jens ProthmannDaniel Molins-DelgadoAlexander BrauneMargareta SandahlCharlotta TurnerPeter Spégel,2024,https://link.springer.com/article/10.1007/s00216-024-05358-x,Article
