Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Coal Macerals,Encyclopedia of Mineral and Energy Policy,,,,10.1007/978-3-662-47493-8_93,Shankar Nath Chaudhuri,2023,https://link.springer.com/rwe/10.1007/978-3-662-47493-8_93,Reference work entry
Maceral Evolution of Shale and Its Effects on the Development of Organic Pores,Proceedings of the International Field Exploration and Development Conference 2024,,,,10.1007/978-981-96-2706-6_14,Yi-Zhang WangFei DaiZhong-Liang DongHua-Sen Zeng,2025,https://link.springer.com/chapter/10.1007/978-981-96-2706-6_14,Conference paper
A nitrogen-doped activated carbon evolved from coal-based polyaniline as enhanced-performance electrode materials for supercapacitors,Journal of Materials Science: Materials in Electronics,,,,10.1007/s10854-025-15245-5,Dening XiangHua YuanTianyu ZhangZhishang LongMengmeng XieHui ZhaoRundong DaiNana YangFeng BaiXiaoqin WangShanxin Xiong,2025,https://link.springer.com/article/10.1007/s10854-025-15245-5,Article
"Compositional Peculiarities of the Upper Devonian Coaly Rocks (The Sula River Section, North Timan)",Lithology and Mineral Resources,,,,10.1134/S0024490223700220,O. S. KotikN. V. ProninaN. S. InkinaP. A. Beznosov,2023,https://link.springer.com/article/10.1134/S0024490223700220,Article
An LDA and RBF-SVM Based Classification Method for Inertinite Macerals of Coal,Image and Graphics,,,,10.1007/978-3-030-87358-5_13,Zihan XueJing CaoPeizhen WangZihuan YinDailin Zhang,2021,https://link.springer.com/chapter/10.1007/978-3-030-87358-5_13,Conference paper
Study on the interaction mechanism of vitrinite and inertinite in pyrolysis of tar-rich coal based on ReaxFF MD,Journal of Thermal Analysis and Calorimetry,,,,10.1007/s10973-025-14351-0,Huaiqing ZhangAnning ZhouZhen LiJing ChangJinzhou Qu,2025,https://link.springer.com/article/10.1007/s10973-025-14351-0,Article
Influence of particle size on maceral and mineral distribution in Lower Gondwana coals of India,Arabian Journal of Geosciences,,,,10.1007/s12517-023-11286-4,Rajesh BhattaNilima Dash,2023,https://link.springer.com/article/10.1007/s12517-023-11286-4,Article
"Petrographic Characterization and Derivation of Sedimentary Environments and Coal Use from Petrographic Composition: Morupule, Mmamabula, and Mabesekwa Coalfields, Botswana",Natural Resources Research,,,,10.1007/s11053-024-10365-x,Kamogelo P. KeboletseFreeman NtuliOluseyi P. Oladijo,2024,https://link.springer.com/article/10.1007/s11053-024-10365-x,Article
Pore–Fracture Structure Characteristics of Low-Medium Rank Coals from Eastern Surat Basin by FE-SEM and NMR Experiments,Natural Resources Research,,,,10.1007/s11053-023-10304-2,Zehong CuiZheng ZhangWensong HuangLingli LiuJianjun WangXiaoyi WeiJian Shen,2024,https://link.springer.com/article/10.1007/s11053-023-10304-2,Article
"Geochemical study on nitrogen isotope composition, speciation distribution, and influencing factors of vitrinite-rich coal seams during the Late Carboniferous",Scientific Reports,,,,10.1038/s41598-025-03810-1,Dun WuLiu ZhaoBo LiNyasha Ndhlovu Kataza,2025,https://link.springer.com/article/10.1038/s41598-025-03810-1,Article
"Coal-forming sedimentary model and its control on vertical reservoir heterogeneity of the upper carboniferous Benxi formation in Ordos basin, China",Scientific Reports,,,,10.1038/s41598-025-13928-x,Yaxuan ZhangChenjun WuYu LiJiabei LiChenjun FengBo LiZhigang WenXiaona Liu,2025,https://link.springer.com/article/10.1038/s41598-025-13928-x,Article
