Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Organic richness and maturity modeling of cretaceous age Chichali shales for enhanced hydrocarbon exploration in Punjab platform, Pakistan",Journal of Petroleum Exploration and Production Technology,,,,10.1007/s13202-024-01856-x,Qadeer AhmadMuhammad Iqbal HajanaShamshad Akhtar,2024,https://link.springer.com/article/10.1007/s13202-024-01856-x,Article
"Reservoir characterization of the Abu Roash D Member through petrography and seismic interpretations in Southern Abu Gharadig Basin, Northern Western Desert, Egypt",Scientific Reports,,,,10.1038/s41598-024-58846-6,Ibrahim LasheenAhmed M. NoureldinAhmed Metwally,2024,https://link.springer.com/article/10.1038/s41598-024-58846-6,Article
"Efflorescence, subflorescence, and crust weathering characteristics of sandstone in Nankan Grotto, China: insights into petrography and environment constraints",Heritage Science,,,,10.1186/s40494-024-01371-6,Xuening ZhangXiyong WuSixiang LingYijian Cao,2024,https://www.nature.com/articles/s40494-024-01371-6,Article
"Petrography, mineral chemistry and FTIR spectral study of lateritic iron oxide concretions from the Damodar River basin, India",Proceedings of the Indian National Science Academy,,,,10.1007/s43538-024-00320-y,Gouri BhattacharyyaSandipan GhoshPrakash JhaIrfan Shaaban AsaadPranab DasSabyasachi Mondal,2024,https://link.springer.com/article/10.1007/s43538-024-00320-y,Article
"Provenance and depositional setting of the Disang Group exposed in the north-easternmost part of Assam-Arakan Basin, India: insights from petrography and clay mineralogy",Journal of Sedimentary Environments,,,,10.1007/s43217-024-00199-1,Dimple Moni KachariChaitra Dhar TayeAnanya Chutia,2024,https://link.springer.com/article/10.1007/s43217-024-00199-1,Article
"The Birkhead and Murta formations—organic geochemistry and organic petrography of Mesozoic fluvio-lacustrine source rocks in the Eromanga Basin, central Australia",International Journal of Earth Sciences,,,,10.1007/s00531-022-02231-z,J. RöthA. BaniasadF. FroidlJ. OstlenderC. BorehamL. HallR. Littke,2022,https://link.springer.com/article/10.1007/s00531-022-02231-z,Article
"Palynofacies, Organic Petrography, and Source Rock Potential of the Toarcian Quse Formation Oil Shale in the Tibetan Tethys, China",Advances in Petroleum Source Rock Characterizations: Integrated Methods and Case Studies,,,,10.1007/978-3-031-16396-8_10,Ahmed MansourThomas GentzisGuoqing XiaHumberto Carvajal-OrtizSeare OcubalidetHaisheng YiHaytham El Atfy,2023,https://link.springer.com/chapter/10.1007/978-3-031-16396-8_10,Chapter
"Organic geochemistry and petrology of organic-rich shales within Eocene evaporite sequences in the Kohat Basin, Pakistan",Journal of Sedimentary Environments,,,,10.1007/s43217-025-00248-3,Naqib-UllahKhairul Azlan MustaphaNimat Ullah KhattakMutasim Sami OsmanNasar Khan,2025,https://link.springer.com/article/10.1007/s43217-025-00248-3,Article
"Lithostratigraphy, petrography, and geochemistry of the Eocene–Oligocene rock succession, Wadi Arhab area, North Eastern Desert, Egypt",Carbonates and Evaporites,,,,10.1007/s13146-024-00928-7,Alaa Taha Ahmed AminAhmed Mohamed El-MezayenDarweesh Mohamed ElkholyEhab Korany Abu ZeidWael FahmyHossam Anwar Khamis,2024,https://link.springer.com/article/10.1007/s13146-024-00928-7,Article
"Structural and maturity evolution of lignite using Raman spectroscopy and organic petrology of the Barmer basin, Rajasthan, India",Environmental Geochemistry and Health,,,,10.1007/s10653-025-02638-y,Om Prakash KumarP. GopinathanAmiya S. NaikPramod K. RajakGovind KumarNeeraj K. UpadhayayAmit KarmakarT. Subramani,2025,https://link.springer.com/article/10.1007/s10653-025-02638-y,Article
"Hydrocarbon generation potential of the lower Jurassic-Eocene intervals in the Potwar Plateau, Pakistan: insights from organic geochemical, 1D basin modeling and petrographic analysis",Carbonates and Evaporites,,,,10.1007/s13146-025-01114-z,Masood ShahSyed Mamoon SiyarAbbas F. GharibIman M. AnwerMuhammad IrfanMohammad Salman ShamimNasar KhanTaqweem Ul. HaqYasir HamidKamran Shams,2025,https://link.springer.com/article/10.1007/s13146-025-01114-z,Article
Role of Terrestrial Organic Matter in Re and Os Uptake: Insights for Re-Os Dating of Organic-Bearing Sedimentary Rocks and Weathering of Organic Carbon,Journal of Earth Science,,,,10.1007/s12583-025-0255-9,Zeyang LiuMeilin JiangFuming ZhouDavid SelbyZhen Qiu,2025,https://link.springer.com/article/10.1007/s12583-025-0255-9,Article
Organic and inorganic geochemical cyclicity of a Maastrichtian oceanic open-shelf carbonate source rock,Scientific Reports,,,,10.1038/s41598-025-99832-w,Muhammad UsmanMaria Ardila-SanchezErdem IdizIsraa S. Abu-MahfouzFrans van BuchemVolker Vahrenkamp,2025,https://link.springer.com/article/10.1038/s41598-025-99832-w,Article
