Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Investigation of biochar performance for phase change material integration in building applications: effects of raw material type and pyrolysis parameters,The European Physical Journal Plus,,,,10.1140/epjp/s13360-025-06632-2,Bedrettin CoskunUmit Nazli Temel,2025,https://link.springer.com/article/10.1140/epjp/s13360-025-06632-2,Article
"Effect of gold doping via laser ablation on the structural, morphologic, and optical properties of CdS thin films for use in optoelectronic applications",Journal of Materials Science: Materials in Electronics,,,,10.1007/s10854-025-14811-1,Jamal AzizR. K. Fakher AlfahedFaten Sh. Zainulabdeen,2025,https://link.springer.com/article/10.1007/s10854-025-14811-1,Article
"Gas Generation from Coal and Coal-Measure Mudstone Source Rocks of the Xujiahe Formation in the Western Sichuan Depression, Sichuan Basin",Journal of Earth Science,,,,10.1007/s12583-022-1627-z,Zijin WuTengfei LiSui JiQin ZhouHui Tian,2023,https://link.springer.com/article/10.1007/s12583-022-1627-z,Article
Fingerprinting and identification of isolated plastic polymers with pyrolysis comprehensive two-dimensional gas chromatography and flame ionization detection,Analytical and Bioanalytical Chemistry,,,,10.1007/s00216-022-04424-6,Jim LuongRonda GrasYujuan HuaGuangyu LiuRobert A. Shellie,2022,https://link.springer.com/article/10.1007/s00216-022-04424-6,Article
Research on Steam Simulation of the Formation and Gasification of Siliceous Rocks,Chemistry and Technology of Fuels and Oils,,,,10.1007/s10553-023-01551-3,Guohui QuXuebin TianYikun LiuJianxin WangXiaorui BaiJiqiang ZhiBowen LiXiunan Li,2023,https://link.springer.com/article/10.1007/s10553-023-01551-3,Article
"Formation and distribution of coal measure source rocks in the Eocene Pinghu Formation in the Pinghu Slope of the Xihu Depression, East China Sea Shelf Basin",Acta Oceanologica Sinica,,,,10.1007/s13131-023-2176-8,Yongcai YangXiaojun XieYouchuan LiGang GuoXiaoying XiWenjing Ding,2023,https://link.springer.com/article/10.1007/s13131-023-2176-8,Article
Valorization of rubberwood sawdust and sewage sludge by pyrolysis and co-pyrolysis using agitated bed reactor for producing biofuel or value-added products,Environmental Science and Pollution Research,,,,10.1007/s11356-021-15283-6,Liaqat AliArkom PalamanitKuaanan TechatoKhurshid Ahmed BalochWarangkana Jutidamrongphan,2021,https://link.springer.com/article/10.1007/s11356-021-15283-6,Article
"Geochemical characterisation and petroleum potential of selected cenozoic coals from Sarawak basin, Malaysia",Journal of Petroleum Exploration and Production Technology,,,,10.1007/s13202-025-01987-9,Lanre AsiwajuKhairul Azlan MustaphaWan Hasiah AbdullahYousif M. MakeenMohammed Hail Hakimi,2025,https://link.springer.com/article/10.1007/s13202-025-01987-9,Article
Direct Laser Patterning of PDMS for Microfluidic Channels with Rounded Cross-Section Profiles,Lasers in Manufacturing and Materials Processing,,,,10.1007/s40516-025-00310-y,Daniel S. De LaraVivian M. AndradeFernando C. RufinoRicardo C. TeixeiraRaluca SavuEdnan Joanni,2025,https://link.springer.com/article/10.1007/s40516-025-00310-y,Article
Production and characterization of biochar obtained from different biomass and pyrolysis temperature,Brazilian Journal of Chemical Engineering,,,,10.1007/s43153-021-00147-w,Danielle França de Oliveira TorchiaEveraldo ZontaAzarias Machado de AndradeAndrés Calderín García,2021,https://link.springer.com/article/10.1007/s43153-021-00147-w,Article
