Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Source rock and palaeoecology of the Permian Damuda Formation, Group, Sikkim: Rock–Eval pyrolysis and organic matter approach",Journal of Earth System Science,,,,10.1007/s12040-025-02521-5,Ajoykumar WahengbamYengkhom Raghumani SinghLaishram Sarjesh SinghChungkham Kevin Singh,2025,https://link.springer.com/article/10.1007/s12040-025-02521-5,Article
Laboratory Studies of Electromagnetic and Resistive Heating of Oil Source Rock,High Temperature,,,,10.1134/S0018151X24700731,R. R. ZinnatullinI. V. GaisinB. A. Usmanov,2024,https://link.springer.com/article/10.1134/S0018151X24700731,Article
Plate drift velocity controls on the levels of hydrocarbon source rock development taking the palaeozoic as an example,Scientific Reports,,,,10.1038/s41598-025-01366-8,Yuan ZhuangFengli YangMingchen XuPanpan HuXin Liao,2025,https://link.springer.com/article/10.1038/s41598-025-01366-8,Article
Organic and inorganic geochemical cyclicity of a Maastrichtian oceanic open-shelf carbonate source rock,Scientific Reports,,,,10.1038/s41598-025-99832-w,Muhammad UsmanMaria Ardila-SanchezErdem IdizIsraa S. Abu-MahfouzFrans van BuchemVolker Vahrenkamp,2025,https://link.springer.com/article/10.1038/s41598-025-99832-w,Article
Permian Source Rock Characteristics of the Junggar Basin,Theory and Simulation Experimental Technology of Oil Generation From Nonmarine Source Rocks in China,,,,10.1007/978-981-96-3145-2_5,Defan GuanZhongliang MaYongqiang Zhao,2025,https://link.springer.com/chapter/10.1007/978-981-96-3145-2_5,Chapter
"Source rock evaluation and basin modeling of Pliocene formations in Sapphire gas field, offshore Nile Delta",Mediterranean Geoscience Reviews,,,,10.1007/s42990-025-00185-3,Ahmed Saad Abdel-RahmanMohamed RedaNabil Ali Abdel-HafezMohamed Abdel-Khalek Mahmoud,2025,https://link.springer.com/article/10.1007/s42990-025-00185-3,Article
Source rock potential of coals of Lower Himalayan Gondwana coals in North East (NE) India,Geosciences Journal,,,,10.1007/s12303-025-00056-x,Manuranjan KonwarDhrubajyoti NeogDiganta BhuyanBadikar Ananda Ganapati,2025,https://link.springer.com/article/10.1007/s12303-025-00056-x,Article
Investigation on deformation behavior of unstable rock belt based on multi-source data analysis,Bulletin of Engineering Geology and the Environment,,,,10.1007/s10064-024-03991-5,Yufang ZhangJunyi HeKun YuanXueyong XuYe ZhouHaoshan ZhangAiguo XingJian Cui,2024,https://link.springer.com/article/10.1007/s10064-024-03991-5,Article
"Unique bimodal oil generation of alkaline-saline lacustrine source rock: Evidences, model and mechanism of organic-inorganic interactions",Science China Earth Sciences,,,,10.1007/s11430-024-1525-0,Jian CaoRuijie ZhangDongming ZhiYong TangLiuwen XiaWenjun He,2025,https://link.springer.com/article/10.1007/s11430-024-1525-0,Article
Lignite of Western Rajasthan as a Source Rock for Hydrocarbons,"Geosciences of the Rajasthan Basins, India",,,,10.1007/978-981-96-3005-9_2,Alok KumarKhairul Azlan MustaphaAlok K. Singh,2025,https://link.springer.com/chapter/10.1007/978-981-96-3005-9_2,Chapter
