Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Colorimetry has practical advantages over spectrophotometry for estimating entomopathogenic fungi spore concentration in aqueous suspensions,Folia Microbiologica,,,,10.1007/s12223-025-01320-1,Christian Jesús Mora-PérezErnesto Favela-TorresRoberto Montesinos-MatiasAngélica María Berlanga-PadillaFernando Méndez-González,2025,https://link.springer.com/article/10.1007/s12223-025-01320-1,Article
An Innovative Geo-AI Approach in Estimating High-Resolution Urban Ambient Fungal Spore Variations,Earth Systems and Environment,,,,10.1007/s41748-024-00535-5,Pei-Yi WongHuey-Jen SuHsing Jasmine ChaoWen-Chi PanHui-Ju TsaiTsung-Chieh YaoWan-Yu LiuShih-Chun Candice LungGary AdamkiewiczChih-Da Wu,2024,https://link.springer.com/article/10.1007/s41748-024-00535-5,Article
"TraitAM, a global spore trait database for arbuscular mycorrhizal fungi",Scientific Data,,,,10.1038/s41597-025-04940-x,V. Bala ChaudharyLiam F. NokesJennifer B. GonzálezPeri O. CooperAnne M. KatulaEmma C. MaresSmriti Pehim LimbuJannetta N. RobinsonCarlos A. Aguilar-Trigueros,2025,https://link.springer.com/article/10.1038/s41597-025-04940-x,Article
Machine Learning Unveils Potential Taste Biomarkers Associated with Energy Status in Shiitake Mushrooms During Spore Release,Food and Bioprocess Technology,,,,10.1007/s11947-025-03825-6,Rongrong XiaHeran XuHongli RenHafiz A. R. SuleriaYitong QiaoZhenshan HouYunting LiYafei WangSong PanGuang Xin,2025,https://link.springer.com/article/10.1007/s11947-025-03825-6,Article
Lightweight fungal spore detection based on improved YOLOv5 in natural scenes,International Journal of Machine Learning and Cybernetics,,,,10.1007/s13042-023-02026-x,Kaiyu LiChen QiaoXinyi ZhuYuzhaobi SongLingxian ZhangWei GaoYong Wang,2023,https://link.springer.com/article/10.1007/s13042-023-02026-x,Article
Supervised segmentation on fusarium macroconidia spore in microscopic images via analytical approaches,Multimedia Tools and Applications,,,,10.1007/s11042-023-17008-y,K. A. AzuddinA. K. JunohA. ZakariaM. T. A. RahmanN. M. I. M. NorH. NishizakiZ. LatiffahN. F. AzuddinM. Z. AbdullahT. P. Terna,2023,https://link.springer.com/article/10.1007/s11042-023-17008-y,Article
Efficient immobilization of highly stable <i>Bacillus amyloliquefaciens</i> spore laccase for biodecolorization of textile dyes in water,Environmental Sciences Europe,,,,10.1186/s12302-024-00865-1,Magda A. El-BendarySafaa M. EzzatEmad A. EwaisMohamed A. Al-Zalama,2024,https://link.springer.com/article/10.1186/s12302-024-00865-1,Article
Preparation and Fabrication of Nanoemulsions of <i>Spent Coffee Oil</i> and <i>Ganoderma lucidum Spore Oil</i> for Skin Whitening and Anti-Wrinkle Applications: In Vitro and In Vivo Evaluations,BioNanoScience,,,,10.1007/s12668-025-01896-5,Maryam RahimiMajid AziziHamid SoorgiFatemeh GheybiAli NokhodchiAmir AmaniFatemeh Oroojalian,2025,https://link.springer.com/article/10.1007/s12668-025-01896-5,Article
Identification and morpho-molecular characterization of low spore strain in oyster mushroom,Molecular Biology Reports,,,,10.1007/s11033-023-08452-y,Anupam BarhShwet KamalVed Parkash SharmaKanika SharmaBabita KumariManoj Nath,2023,https://link.springer.com/article/10.1007/s11033-023-08452-y,Article
Nasal-spraying <i>Bacillus</i> spore probiotics for pneumonia in children with respiratory syncytial virus and bacterial co-infections: a randomized clinical trial,Communications Medicine,,,,10.1038/s43856-025-01029-9,Hoa Thi LeThuy Thi Bich PhungHuyen Thi BuiHanh Thi Hong LeDien Minh TranNhung Hong NguyenHung Tuan PhanVu Duy TranUt Vu PhamNha Van PhanHuong Thu DoAnh Hoa NguyenTung Dinh PhamAnh Thi Van Nguyen,2025,https://link.springer.com/article/10.1038/s43856-025-01029-9,Article
Development of a spore-based mucosal vaccine against the bovine respiratory pathogen <i>Mannheimia haemolytica</i>,Scientific Reports,,,,10.1038/s41598-023-29732-4,Muhammed Salah UddinJose Ortiz GuluarteD. Wade AbbottG. Douglas InglisLe Luo GuanTrevor W. Alexander,2023,https://link.springer.com/article/10.1038/s41598-023-29732-4,Article
