Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Evolution of mechanical properties of organic-rich shale during thermal maturation,Scientific Reports,,,,10.1038/s41598-024-75035-7,Jianfeng WangDayong LiuJianfei ShiChao YangYuke LiuGuozhi WangHuijuan GuoPeng LiuYongqiang XiongPing’an Peng,2024,https://link.springer.com/article/10.1038/s41598-024-75035-7,Article
Characterization by 16S Amplicon Sequencing of Bacterial Communities Overall and During the Maturation Process of Peloids in Two Spas of an Italian Thermal Complex,Microbial Ecology,,,,10.1007/s00248-024-02469-x,Stefania PaduanoIsabella MarchesiFederica ValerianiGiuseppina FrezzaMaria Chiara FacchiniVincenzo Romano SpicaAnnalisa Bargellini,2024,https://link.springer.com/article/10.1007/s00248-024-02469-x,Article
Maturation,Whisky Science,,,,10.1007/978-3-031-50687-1_8,Gregory H. Miller,2024,https://link.springer.com/chapter/10.1007/978-3-031-50687-1_8,Chapter
Quantifying Microstrain of Quartz and Illite During Thermal Maturation of Organic Matter,Rock Mechanics and Rock Engineering,,,,10.1007/s00603-023-03452-7,Kouqi LiuBo LiuMehdi OstadhassanMajid Safaei-Farouji,2023,https://link.springer.com/article/10.1007/s00603-023-03452-7,Article
Modeling the combined influence of maturation and organic matter content on terahertz dielectric properties of oil shales,Analytical Sciences,,,,10.1007/s44211-025-00834-5,Federico SanjuanCharles AubourgBertrand FasentieuxMaria Angels SubiranaFrançois BaudinMaxime Bernier,2025,https://link.springer.com/article/10.1007/s44211-025-00834-5,Article
Maturation of human cardiac organoids enables complex disease modeling and drug discovery,Nature Cardiovascular Research,,,,10.1038/s44161-025-00669-3,Mark W. PocockJanice D. ReidHarley R. RobinsonNatalie CharitakisJames R. KrycerSimon R. FosterRebecca L. FitzsimmonsMary LorLynn A. C. DeviléeChristopher A. P. BathoNatasha TuanoSara E. HowdenKaterina VlahosKevin I. WattAdam T. PiersKaitlyn BibbyJames W. McNamaraRebecca SuttonValerii IaprintsevJacob MathewHolly K. VogesPatrick R. J. FortunaSebastian Bass-StringerCeline VivienJames RaeRobert G. PartonAnthony B. FirulliLeszek LisowskiHannah HuckstepSean J. HumphreySean LalIgor E. KonstantinovRobert G. WeintraubDavid A. ElliottMirana RamialisonEnzo R. PorrelloRichard J. MillsJames E. Hudson,2025,https://link.springer.com/article/10.1038/s44161-025-00669-3,Article
Oocytes with impaired meiotic maturation contain increased mtDNA deletions,Journal of Assisted Reproduction and Genetics,,,,10.1007/s10815-025-03393-w,Jason D. KofinasMichelle L. Seth-SmithYael KramerJessie Van DaeleDavid McCullohFang WangJamie GrifoDavid Keefe,2025,https://link.springer.com/article/10.1007/s10815-025-03393-w,Article
Expression and Regulatory Roles of SKAP2 and Cortactin in Mouse Ovarian Tissue and Oocyte Maturation,Reproductive Sciences,,,,10.1007/s43032-025-01925-4,Ying FengXinyi HangZhumei ShengYu ChenXuejing Jin,2025,https://link.springer.com/article/10.1007/s43032-025-01925-4,Article
Maternal plasma cell-free RNA as a predictive test for fetal lung maturation,BMC Medicine,,,,10.1186/s12916-025-04256-y,Sean W. D. CarterKay Yi Michelle SeahSi En PohWinston KohHaruo UsudaErin L. JohnsonYusaku KumagaiTsukasa TakahashiLara J. MonteiroReyna PeñaililloGino NardocciHannah R. S. WatsonMasatoshi SaitoMahesh A. ChoolaniSebastián E. IllanesMatthew W. Kemp,2025,https://link.springer.com/article/10.1186/s12916-025-04256-y,Article
Evaluation of uranium migration during the maturation of hydrocarbon source rocks,Scientific Reports,,,,10.1038/s41598-024-75930-z,Junxian WangZiying LiFeng HeFengtian BaiLinfei QiuJian GuoChuang Zhang,2024,https://link.springer.com/article/10.1038/s41598-024-75930-z,Article
Regional differentiation in somatic growth and maturation attributes for loggerhead sea turtles (<i>Caretta caretta</i>) in the Northwest Atlantic,Marine Biology,,,,10.1007/s00227-025-04684-7,Larisa AvensMargaret M. LamontAllen M. FoleyBenjamin M. HigginsLyndsey N. HowellGretchen LovewellDonna J. ShaverBrian A. StacyJ. Shelby WalkerJamie M. ClarkAmy A. WallaceHannah B. Vander Zanden,2025,https://link.springer.com/article/10.1007/s00227-025-04684-7,Article
Experimental maturation of pine resin in sediment to investigate the formation of synthetic copal and amber,Scientific Reports,,,,10.1038/s41598-025-89448-5,Evan T. SaittaThomas G. Kaye,2025,https://link.springer.com/article/10.1038/s41598-025-89448-5,Article
Structural basis of NEAT1 lncRNA maturation and menRNA instability,Nature Structural & Molecular Biology,,,,10.1038/s41594-024-01361-z,Ilias SkeparniasJinwei Zhang,2024,https://link.springer.com/article/10.1038/s41594-024-01361-z,Article
CFP1 promotes germinal center affinity maturation and restrains memory B cell differentiation through H3K4me3 modulation,Nature Communications,,,,10.1038/s41467-025-63291-8,Yanan ZhaoShuoxu GongYalin YangYimiao LuJingning BaiMeiling LiuWanyu BaiJunchao Dong,2025,https://link.springer.com/article/10.1038/s41467-025-63291-8,Article
"Maturation of Neonatal Reflexes and Behavioral Features in 5xFAD Mice, a Model of Alzheimer’s Disease",Journal of Evolutionary Biochemistry and Physiology,,,,10.1134/S0022093025040271,I. N. RozhkovaE. Yu. BrusentsevT. A. RakhmanovaV. S. KozenevaN. V. KhotskinS. Ya. Amstislavsky,2025,https://link.springer.com/article/10.1134/S0022093025040271,Article
Human cytomegalovirus induces neuronal gene expression through IE1 for viral maturation,Nature Communications,,,,10.1038/s41467-025-61915-7,Laurel E. Kelnhofer-MillevolteJulian R. SmithDaniel H. NguyenLea S. WilsonHannah C. LewisEdward A. ArnoldMia R. BrinkleyKihye ShinJin-Hyun AhnEui Tae KimKatarzyna KulejAdam P. GeballeSrinivas RamachandranDaphne C. Avgousti,2025,https://link.springer.com/article/10.1038/s41467-025-61915-7,Article
Prediction of midpalatal suture maturation stage based on transfer learning and enhanced vision transformer,BMC Medical Informatics and Decision Making,,,,10.1186/s12911-024-02598-w,Haomin TangShu LiuWeijie TanLingling FuMing YanHongchao Feng,2024,https://link.springer.com/article/10.1186/s12911-024-02598-w,Article
Effect of histidine and L-Tyrosine supplementation in maturation medium on in-vitro developmental outcomes of buffalo oocytes,BMC Veterinary Research,,,,10.1186/s12917-024-04212-7,Eman M. Abu El-NagaMontaser Elsayed AliRamya A. SindiHassan A. Hussein,2024,https://link.springer.com/article/10.1186/s12917-024-04212-7,Article
Influence of igneous intrusions on maturation of the Cretaceous-Eocene source rocks of the offshore Tanzanian Basin,Acta Geochimica,,,,10.1007/s11631-024-00730-1,John William GamaEmily Barnabas KiswakaElisante Elisaimon Mshiu,2024,https://link.springer.com/article/10.1007/s11631-024-00730-1,Article
"Non-genetic neuromodulation with graphene optoelectronic actuators for disease models, stem cell maturation, and biohybrid robotics",Nature Communications,,,,10.1038/s41467-025-62637-6,Elena MolokanovaTeng ZhouPragna VasupalVolodymyr P. CherkasPrashant NaruteMariana S. A. FerrazMichael ReissAngels Almenar-QueraltGeorgia ChaldaiopoulouJanaina Sena de SouzaHonieh HematiFrancisco DowneyOmowuyi O. OlajideCarolina Thörn PerezFrancesca PuppoPinar MesciSamuel L. PfaffDmitry KireevAlysson R. MuotriAlex Savchenko,2025,https://link.springer.com/article/10.1038/s41467-025-62637-6,Article
Effect of thermal maturation and organic matter content on oil shale fracturing,International Journal of Coal Science & Technology,,,,10.1007/s40789-024-00666-0,Fatemeh SaberiMahboubeh Hosseini-Barzi,2024,https://link.springer.com/article/10.1007/s40789-024-00666-0,Article
Development and Evolution of Lacustrine Shale Pore Structure with Increasing Thermal Maturation in the Huangxian Basin,Proceedings of the International Field Exploration and Development Conference 2022,,,,10.1007/978-981-99-1964-2_554,Ya-li JiangHua-qing XuePei WangSha-sha LiuZhen-yong Zhou,2023,https://link.springer.com/chapter/10.1007/978-981-99-1964-2_554,Conference paper
Bioprinting of bespoke islet-specific niches to promote maturation of stem cell-derived islets,Nature Communications,,,,10.1038/s41467-025-56665-5,Myungji KimSeungyeun ChoDong Gyu HwangIn Kyong ShimSong Cheol KimJiwon JangJinah Jang,2025,https://link.springer.com/article/10.1038/s41467-025-56665-5,Article
Polystyrene nanoplastic exposure actives ferroptosis by oxidative stress-induced lipid peroxidation in porcine oocytes during maturation,Journal of Animal Science and Biotechnology,,,,10.1186/s40104-024-01077-6,Yijing HeTianhang YuHeran LiQinfeng SunMiaoyu ChenYiyi LinJianjun DaiWeihan WangQiao LiShiqiang Ju,2024,https://link.springer.com/article/10.1186/s40104-024-01077-6,Article
